elem,model,a,cohesive-energy,c11,c12,bulk,shear,volume,bulk*volume,shear*volume,formation-energy,migration-energy,relaxation-volume,edt11,spedt11,spedt33,spdst11,spdst33,ln_a,ln_cohesive-energy,ln_c11,ln_c12,ln_bulk,ln_shear,ln_volume,ln_bulk*volume,ln_shear*volume,ln_formation-energy,ln_migration-energy,ln_relaxation-volume,ln_edt11,ln_spedt11,ln_spedt33,ln_spdst11,ln_spdst33,surface100,surface121,surface111,surface110,element,lattice,model
Al,EAM_Dynamo_Landa_Wynblatt_AlPb__MO_699137396381_002,4.03103608609,3.359280122205089,0.6735018891327091,0.35518906062228045,0.4612933367924234,0.15915641425521435,65.5013208911548,30.215322878192072,10.42495536201636,0.6746031453648762,0.5881094117334199,7.043347281122568,3.2490492194899034,3.3950950114337743,-1.378624839249154,6.302458063443371,-8.694486696838354,1.3940234362383475,1.2117267016767201,-0.39526447818730903,-1.035105066136018,-0.7737211329353796,-1.8378678228603167,4.182070308715042,3.4083491757796627,2.3442024858547255,-0.3936306938026401,-0.5308422740166352,1.9520835232403229,1.178362405691916,1.2223317463138461,-100,1.8409397261019684,-100,0.0590927344249,0.0635102527127,0.0547346408444,0.0647868058271,Al,fcc,EAM_Dynamo_Landa_Wynblatt_AlPb__MO_699137396381_002
Ni,EAM_Dynamo_Mishin_NiAl__MO_101214310689_002,3.52000003113,4.449999985170711,1.5063435120513817,0.9413703278753661,1.1296947226007046,0.2824865920880078,43.61420915713946,49.27074191522377,12.32042931141391,1.5723494404659446,1.1898336971488042,1.8848969272641725,2.1293572864967043,3.1361923901976865,-4.455861899837284,4.657964595716432,-8.779937419239541,1.2584609984537556,1.4929040928457245,0.4096851990194917,-0.06041866965846006,0.12194743923474874,-1.264124191157351,3.7753829953612668,3.897330434596016,2.511258804203916,0.4525709596769089,0.1738135470623331,0.633873138908481,0.7558201907588481,1.1430094495214722,-100,1.5385785706853958,-100,0.120837836579,0.127329088065,0.109794147038,0.130265087362,Ni,fcc,EAM_Dynamo_Mishin_NiAl__MO_101214310689_002
Cu,EAM_Dynamo_Mendelev_Kramer_Cu__MO_945691923444_002,3.63908743858,3.283116209154995,1.088997249333131,0.7979026898496387,0.8949342096774696,0.14554727974174614,48.19227987169908,43.128919899534445,7.0142552398787075,1.0487278184893851,0.9929568267839806,3.6141666569867414,3.2344412153111497,4.158617863228382,-1.509221232995913,7.335511596391541,-12.135268065049232,1.2917329465304133,1.1887930351378844,0.08525731808273995,-0.22576863151223717,-0.11100507214943894,-1.92725429847566,3.8751988395912402,3.7641937674418013,1.9479445411155802,0.04757782814832069,-0.007068093441072883,1.2848613053809461,1.1738561820628735,1.4251827746515133,-100,1.9927271564553592,-100,0.067588513481,0.0680344667171,0.0563360529203,0.0720161638596,Cu,fcc,EAM_Dynamo_Mendelev_Kramer_Cu__MO_945691923444_002
Pt,EAM_Dynamo_Zhou_Johnson_Pt__MO_102190350384_002,3.92008088677,5.7699973742124095,103.98948366666026,1.6335356336712323,35.752184978000905,51.17797401649452,60.24001689232991,2153.7122270124783,3082.962019268851,1.5492784962239963,0.7278982195316386,-4.560743024005873,-163.05652830106163,-170.36127155505616,-181.67001093155994,-1.5866703105574271,-1.697154746788803,1.3661122879695873,1.7526716254440657,4.644289775438739,0.4907467661285171,3.576611385538131,3.9353092444947086,4.098336863908762,7.674948249446893,8.03364610840347,0.43778933625167316,-0.31759404889520876,-100,-100,-100,-100,-100,-100,0.135936206277,0.146958820447,0.129988580923,0.149583035691,Pt,fcc,EAM_Dynamo_Zhou_Johnson_Pt__MO_102190350384_002
Al,EAM_Dynamo_Mendelev_Asta_AlMg__MO_658278549784_002,4.04527051002,3.4106569861258027,0.6877068418213284,0.3830298439587489,0.4845888432462753,0.15233849893128973,66.19767028813652,32.07865247052641,10.084453724443156,0.6601741532666818,0.6398120758789656,5.621731044430062,2.724229817704259,2.4738067999979916,-1.8082530998947606,5.404628147681193,-8.64977239958846,1.3975484234338673,1.2269049372910152,-0.3743926338599318,-0.9596423712739054,-0.7244544934683774,-1.8816502674975557,4.192645270301602,3.4681907768332243,2.3109950028040465,-0.4152516101829767,-0.44658077718568756,1.7266396315018537,1.00218575246135,0.9057581787616851,-100,1.6872556508856746,-100,0.0309907296917,0.0334454839023,0.0267020739719,0.036286147088,Al,fcc,EAM_Dynamo_Mendelev_Asta_AlMg__MO_658278549784_002
Cu,EAM_Dynamo_Mendelev_Sordelet_CuZr__MO_120596890176_002,3.6390851295,3.283116232017917,1.106580078669166,0.8023044286924343,0.9037296453513449,0.1521378249883658,48.19218813461318,43.55270909159926,7.33185468423018,1.048731081401151,0.9929762587666146,3.578633752416461,3.234117453658783,4.147885407393959,-1.518298701061073,7.04057190726061,-11.581334467469734,1.2917323120084978,1.1887930421016712,0.10127424903279321,-0.22026715624220616,-0.10122502819560977,-1.882968425634761,3.8751969360254934,3.7739719078298837,1.9922285103907327,0.04758093944815695,-0.00704852381631967,1.2749810941688258,1.173756078880942,1.4225986639957917,-100,1.95168940369721,-100,0.0675885135369,0.0680344616726,0.0563360043916,0.0720161615454,Cu,fcc,EAM_Dynamo_Mendelev_Sordelet_CuZr__MO_120596890176_002
Al,EAM_Dynamo_Mendelev_Kramer_Al__MO_106969701023_002,4.04525974393,3.4106569537190836,0.6621455526867875,0.37153986611320006,0.4684084283043959,0.14530284328679374,66.19714175375724,31.007299127120728,9.618632914279859,0.6601473585589299,0.6397988612329909,5.771942783389264,2.7036269660008454,2.4345489131305746,-1.852200465861558,5.6326670068958204,-9.118418370579647,1.3975457620285794,1.226904927789409,-0.4122698791056489,-0.9900991093752983,-0.7584146536023662,-1.928935140209239,4.192637286085739,3.434222632483372,2.263702145876499,-0.4152921983389911,-0.44660143134796754,1.7530087280747697,0.9945941923032295,0.8897614880923369,-100,1.7285830434653975,-100,0.0309905041033,0.0334453326376,0.0267018784069,0.0362860060918,Al,fcc,EAM_Dynamo_Mendelev_Kramer_Al__MO_106969701023_002
Ni,EAM_Dynamo_Onat_Durukanoglu_CuNi__MO_592013496703_002,3.51999998285,4.449999999999926,1.5416783538495902,0.9236148603583652,1.1296360248554402,0.3090317467456125,43.61420736251392,49.2681798322111,13.478174684163031,1.472134936826008,0.8302494681244887,2.138284298640068,2.4154817985479475,2.1434356597812094,-4.245465470958102,3.449725272236291,-6.887234076932552,1.2584609847378465,1.4929040961781321,0.432871663142954,-0.07946011202711314,0.1218954789404504,-1.1743112670847493,3.7753829542135398,3.8972784331539905,2.6010716871287904,0.3867136851447424,-0.18602905934639719,0.7600037778692541,0.8818987697108839,0.7624099901748862,-100,1.2382945966366756,-100,0.215448151691,0.225429535864,0.2071850821,0.223369542926,Ni,fcc,EAM_Dynamo_Onat_Durukanoglu_CuNi__MO_592013496703_002
Al,EAM_Dynamo_Mendelev_Srolovitz_AlFe__MO_577453891941_002,4.03330182731,3.369705483359035,0.7285396870936994,0.38349449820316145,0.4985095611666741,0.172522594445269,65.6118327834224,32.7081259682051,11.319523618105187,0.6777851676893865,0.7261829361239658,3.5555389266807156,1.7724699736605865,1.881589948530809,-1.865184690200945,4.042635251883716,-6.816158783841335,1.3945853524933327,1.2148253468832144,-0.316713177008229,-0.9584300045537155,-0.6961325098912083,-1.7572270687967395,4.1837560574799975,3.4876235475887896,2.426528988683258,-0.3889249030681176,-0.3199533177663143,1.2685066485815217,0.5723740391737979,0.6321171367281027,-100,1.396896769394585,-100,0.012308961377,0.0159384762122,0.00873120441403,0.0205203345612,Al,fcc,EAM_Dynamo_Mendelev_Srolovitz_AlFe__MO_577453891941_002
Ni,EAM_Dynamo_PurjaPun_Mishin_NiAl__MO_751354403791_002,3.52000003689,4.449999985738258,1.5062116464927595,0.9412686345215856,1.1295829718453103,0.28247150598558696,43.61420937124558,49.265868236255166,12.319771403466438,1.5723494217671106,1.1898336637804232,1.8851224896314305,2.129402505011968,3.1363532752078283,-4.455705349958304,4.658269888343455,-8.780350314448068,1.2584610000901193,1.492904092973263,0.4095976550232714,-0.060526702431509594,0.12184851314367093,-1.264177597250567,3.7753830002703577,3.8972315134140287,2.511205403019791,0.4525709477846198,0.1738135190177572,0.6339928000256181,0.755841426291012,1.1430607476765624,-100,1.5386441106044808,-100,0.120837835892,0.127329087454,0.109794146469,0.130265086963,Ni,fcc,EAM_Dynamo_PurjaPun_Mishin_NiAl__MO_751354403791_002
